file,line,locator,target
sev_compiler/sev_compiler/src/main.sev,15,../../boundaries/backend/src/native_mlir.sev,sev_compiler/boundaries/backend/src/native_mlir.sev
sev_compiler/frontend/source/source.sev,3,package:syntax/source.sev,sev_compiler/syntax/source.sev
sev_compiler/frontend/lexer/lexer/src/token/mod.sev,3,../../../../../syntax/lexeme.sev,sev_compiler/syntax/lexeme.sev
sev_compiler/frontend/lexer/lexer/src/token/mod.sev,5,package:syntax/token.sev,sev_compiler/syntax/token.sev
sev_compiler/syntax/syntax/src/lib.sev,4,../../lowered.sev,sev_compiler/syntax/lowered.sev
sev_compiler/syntax/syntax/src/lib.sev,6,../../literal/value.sev,sev_compiler/syntax/literal/value.sev
sev_compiler/syntax/syntax/src/lib.sev,7,../../literal/lowered.sev,sev_compiler/syntax/literal/lowered.sev
sev_compiler/syntax/syntax/src/lib.sev,8,../../literal/bool.sev,sev_compiler/syntax/literal/bool.sev
sev_compiler/syntax/syntax/src/lib.sev,10,../../lexeme.sev,sev_compiler/syntax/lexeme.sev
sev_compiler/syntax/syntax/src/lib.sev,11,../../source.sev,sev_compiler/syntax/source.sev
sev_compiler/syntax/syntax/src/lib.sev,15,../../token.sev,sev_compiler/syntax/token.sev
sev_compiler/syntax/sentence/sentence.sev,2,../source.sev,sev_compiler/syntax/source.sev
sev_compiler/syntax/sentence/sentence.sev,3,source,unresolved namespace
sev_compiler/syntax/function/lowering.sev,2,source,unresolved namespace
sev_compiler/syntax/function/lowering.sev,3,../literal/value.sev,sev_compiler/syntax/literal/value.sev
sev_compiler/syntax/function/lowering.sev,5,../source/assertion_origin.sev,sev_compiler/syntax/source/assertion_origin.sev
sev_compiler/syntax/function/lowering.sev,6,../literal/lowered.sev,sev_compiler/syntax/literal/lowered.sev
sev_compiler/syntax/function/lowering.sev,7,../source/assertion.sev,sev_compiler/syntax/source/assertion.sev
sev_compiler/syntax/function/lowering.sev,11,operator/types/mod.sev,sev_compiler/syntax/function/operator/types/mod.sev
sev_compiler/syntax/function/function.sev,1,../source/assertion_origin.sev,sev_compiler/syntax/source/assertion_origin.sev
sev_compiler/syntax/function/function.sev,2,source,unresolved namespace
sev_compiler/syntax/function/function.sev,5,../lowered.sev,sev_compiler/syntax/lowered.sev
sev_compiler/syntax/function/function.sev,11,../literal/value.sev,sev_compiler/syntax/literal/value.sev
sev_compiler/syntax/primitive/contract.sev,3,../source.sev,sev_compiler/syntax/source.sev
sev_compiler/syntax/primitive/contract.sev,5,../token.sev,sev_compiler/syntax/token.sev
sev_compiler/syntax/constraint/model.sev,1,source,unresolved namespace
sev_compiler/mir/cfg/cfg.sev,9,../literal/value.sev,sev_compiler/mir/literal/value.sev
sev_compiler/mir/cfg/cfg.sev,11,../type/expression_conversion.sev,sev_compiler/mir/type/expression_conversion.sev
sev_compiler/mir/cfg/cfg.sev,12,../source/assertion_origin.sev,sev_compiler/mir/source/assertion_origin.sev
sev_compiler/syntax/function/syntax.sev,1,source,unresolved namespace
sev_compiler/syntax/function/syntax.sev,6,../operator/kind.sev,sev_compiler/syntax/operator/kind.sev
sev_compiler/syntax/function/syntax.sev,7,../operator/syntax.sev,sev_compiler/syntax/operator/syntax.sev
sev_compiler/syntax/function/syntax.sev,8,../operator/scalar.sev,sev_compiler/syntax/operator/scalar.sev
sev_compiler/syntax/function/syntax.sev,9,../operator/lowered.sev,sev_compiler/syntax/operator/lowered.sev
sev_compiler/syntax/type/annotation.sev,1,../source.sev,sev_compiler/syntax/source.sev
sev_compiler/syntax/block/block.sev,1,../source.sev,sev_compiler/syntax/source.sev
sev_compiler/syntax/block/block.sev,3,source,unresolved namespace
sev_compiler/frontend/lexer/lexer/src/syntax/mod.sev,3,universal,sev_compiler/universal/package.json
sev_compiler/frontend/lexer/lexer/src/runtime.sev,3,universal,sev_compiler/universal/package.json
sev_compiler/frontend/lexer/lexer/src/symbol.sev,4,universal,sev_compiler/universal/package.json
sev_compiler/frontend/lexer/lexer/src/string.sev,5,package:universal/primitive/char/encoding.sev,sev_compiler/universal/primitive/char/encoding.sev
sev_compiler/driver/driver/src/pipeline/source.sev,1,universal,universal/package.json
sev_compiler/driver/driver/src/pipeline/source.sev,11,universal,universal/package.json
sev_compiler/driver/driver/src/pipeline/source.sev,22,package:interface/src/semantic_payload.sev,sev_compiler/interface/src/semantic_payload.sev
sev_compiler/driver/driver/src/pipeline/source.sev,23,package:backend/src/native_mlir.sev,sev_compiler/backend/src/native_mlir.sev
sev_compiler/frontend/semantic/semantic/src/lib.sev,2,universal,sev_compiler/universal/package.json
sev_compiler/frontend/semantic/semantic/src/macros.sev,6,universal,sev_compiler/universal/package.json
sev_compiler/frontend/semantic/semantic/src/macros.sev,7,universal,sev_compiler/universal/package.json
sev_compiler/frontend/semantic/semantic/src/macros.sev,8,universal,sev_compiler/universal/package.json
sev_compiler/frontend/semantic/semantic/src/macros.sev,9,universal,sev_compiler/universal/package.json
sev_compiler/frontend/semantic/semantic/src/definitions.sev,3,universal,sev_compiler/universal/package.json
sev_compiler/frontend/semantic/semantic/src/definitions.sev,4,universal,sev_compiler/universal/package.json
sev_compiler/frontend/semantic/semantic/src/definitions.sev,5,universal,sev_compiler/universal/package.json
sev_compiler/frontend/semantic/semantic/src/definitions.sev,6,universal,sev_compiler/universal/package.json
sev_compiler/frontend/parser/parser/src/statement/mod.sev,6,universal,sev_compiler/universal/package.json
sev_compiler/frontend/parser/parser/src/statement/mod.sev,7,universal,sev_compiler/universal/package.json
