manifest,section,alias,target
sev_compiler/lir/lowering/package.json,dependencies,mir,sev_compiler/lir/package.json
sev_compiler/lir/lowering/package.json,dependencies,universal,sev_compiler/universal/package.json
sev_compiler/lir/mlir/package.json,dependencies,universal,sev_compiler/universal/package.json
sev_compiler/package.json,dependencies,backend,sev_compiler/boundaries/backend/package.json
sev_compiler/package.json,dependencies,universal,sev_compiler/universal/package.json
sev_compiler/mir/package.json,dependencies,universal,sev_compiler/universal/package.json
sev_compiler/mir/ownership/package.json,dependencies,universal,sev_compiler/universal/package.json
sev_compiler/driver/package.json,dependencies,interface,sev_compiler/interface/package.json
sev_compiler/driver/package.json,dependencies,abi,sev_compiler/abi/package.json
sev_compiler/driver/package.json,dependencies,backend,sev_compiler/backend/package.json
sev_compiler/driver/package.json,dependencies,lowering,sev_compiler/mir/lowering/package.json
sev_compiler/driver/package.json,dependencies,universal,universal/package.json
sev_compiler/driver/package.json,dependencies,xxi,sev_compiler/xxi/package.json
sev_compiler/compile/package.json,dependencies,universal,sev_compiler/universal/package.json
sev_compiler/frontend/lexer/package.json,dependencies,universal,sev_compiler/universal/package.json
sev_compiler/frontend/modules/package.json,dependencies,interface,sev_compiler/boundaries/interface/package.json
sev_compiler/frontend/modules/package.json,dependencies,universal,sev_compiler/universal/package.json
sev_compiler/frontend/semantic/package.json,dependencies,universal,sev_compiler/universal/package.json
sev_compiler/frontend/parser/package.json,dependencies,universal,sev_compiler/universal/package.json
