file,owning_package,package_declared_from_compiler,static_import_reachable,block_graph_role,reason,observed_build_state,derived_submodule,artifact
sev_compiler/compile/compile/src/error.sev,sev_compiler/compile,yes,no,no direct block-graph integration identified,no dedicated block graph producer/consumer role identified; may support other compiler paths,not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/compile/compile/src/lib.sev,sev_compiler/compile,yes,no,no direct block-graph integration identified,no dedicated block graph producer/consumer role identified; may support other compiler paths,not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/compile/compile/src/model.sev,sev_compiler/compile,yes,no,no direct block-graph integration identified,no dedicated block graph producer/consumer role identified; may support other compiler paths,not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/compile/compile/src/planner.sev,sev_compiler/compile,yes,no,no direct block-graph integration identified,no dedicated block graph producer/consumer role identified; may support other compiler paths,not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/compile/compile/src/registry.sev,sev_compiler/compile,yes,no,no direct block-graph integration identified,no dedicated block graph producer/consumer role identified; may support other compiler paths,not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/driver/driver/src/config.sev,sev_compiler/driver,yes,no,no direct block-graph integration identified,no dedicated block graph producer/consumer role identified; may support other compiler paths,not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/driver/driver/src/lib.sev,sev_compiler/driver,yes,no,no direct block-graph integration identified,no dedicated block graph producer/consumer role identified; may support other compiler paths,not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/driver/driver/src/main.sev,sev_compiler/driver,yes,no,no direct block-graph integration identified,no dedicated block graph producer/consumer role identified; may support other compiler paths,not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/driver/driver/src/pipeline/mod.sev,sev_compiler/driver,yes,no,no direct block-graph integration identified,no dedicated block graph producer/consumer role identified; may support other compiler paths,not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/driver/driver/src/test_runner/mod.sev,sev_compiler/driver,yes,no,no direct block-graph integration identified,no dedicated block graph producer/consumer role identified; may support other compiler paths,not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/frontend/modules/graph/model.sev,sev_compiler/frontend/modules,yes,no,legacy definition graph,separate declaration graph with preassigned submodule IDs,not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/frontend/modules/graph/queries.sev,sev_compiler/frontend/modules,yes,no,legacy SCC pass,DefinitionGraph SCCs; cross-submodule edges deliberately skipped,not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/frontend/modules/graph/verify.sev,sev_compiler/frontend/modules,yes,no,legacy graph verification,"validates DefinitionGraph, not BlockGraph",not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/frontend/modules/modules/src/lib.sev,sev_compiler/frontend/modules,yes,no,no direct block-graph integration identified,no dedicated block graph producer/consumer role identified; may support other compiler paths,not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/frontend/semantic/semantic/src/callable/semantic_ir_tests.sev,sev_compiler/frontend/semantic,yes,no,no direct block-graph integration identified,no dedicated block graph producer/consumer role identified; may support other compiler paths,not analyzed: package resolution failed,unavailable,none produced by this build
